event,date,eventLabel,year
http://www.wikidata.org/entity/Q136802579,2025-01-01 00:00:00+00:00,2025 chalk protests in Slovakia,2025
http://www.wikidata.org/entity/Q137298947,2025-01-01 00:00:00+00:00,Q137298947,2025
http://www.wikidata.org/entity/Q137342853,2025-01-01 00:00:00+00:00,money laundering case of Sur Finanzas,2025
http://www.wikidata.org/entity/Q131706095,2025-01-01 00:00:00+00:00,Timeline of the January 2025 Richmond water crisis,2025
http://www.wikidata.org/entity/Q133846771,2025-01-01 00:00:00+00:00,2025 Bolivia floods,2025
http://www.wikidata.org/entity/Q133874268,2025-01-01 00:00:00+00:00,Senior WikiTown Luhačovice,2025
http://www.wikidata.org/entity/Q134498112,2025-01-01 00:00:00+00:00,Échecs & Lac,2025
http://www.wikidata.org/entity/Q131399738,2024-12-07 00:00:00+00:00,reopening of Notre-Dame de Paris,2024
http://www.wikidata.org/entity/Q131516505,2024-12-04 00:00:00+00:00,Collapse of the Barnier government,2024
http://www.wikidata.org/entity/Q131286250,2024-11-27 00:00:00+00:00,Q131286250,2024
http://www.wikidata.org/entity/Q131324387,2024-11-26 00:00:00+00:00,Blomqvist robbery,2024
http://www.wikidata.org/entity/Q131225716,2024-11-21 00:00:00+00:00,South Slavic Languagesin the Digital EnvironmentJuDigBook of Abstracts,2024
http://www.wikidata.org/entity/Q131174122,2024-11-13 00:00:00+00:00,2024 Brasília attack,2024
http://www.wikidata.org/entity/Q131056830,2024-11-05 00:00:00+00:00,Hazari Lane violence,2024
http://www.wikidata.org/entity/Q130387122,2024-10-19 00:00:00+00:00,Q130387122,2024
http://www.wikidata.org/entity/Q130547314,2024-10-15 00:00:00+00:00,2024 Majiya fuel tanker explosion,2024
http://www.wikidata.org/entity/Q130387122,2024-10-12 00:00:00+00:00,Q130387122,2024
http://www.wikidata.org/entity/Q130546422,2024-10-11 00:00:00+00:00,2024 Lahore PGC rape,2024
http://www.wikidata.org/entity/Q130743735,2024-10-11 00:00:00+00:00,"October 11, 2024 Brazil storm",2024
http://www.wikidata.org/entity/Q130390919,2024-10-01 00:00:00+00:00,2024 Lam Luk Ka bus crash,2024
http://www.wikidata.org/entity/Q130325301,2024-09-17 00:00:00+00:00,2024 Bamako attacks,2024
http://www.wikidata.org/entity/Q130233415,2024-09-02 00:00:00+00:00,2024 Makala prison jailbreak attempt,2024
http://www.wikidata.org/entity/Q130382919,2024-09-01 00:00:00+00:00,Q130382919,2024
http://www.wikidata.org/entity/Q133538881,2024-08-30 00:00:00+00:00,Q133538881,2024
http://www.wikidata.org/entity/Q130303229,2024-08-18 00:00:00+00:00,Q130303229,2024
http://www.wikidata.org/entity/Q133514351,2024-08-13 00:00:00+00:00,Paris Evergreen International Hotel incident,2024
http://www.wikidata.org/entity/Q137324802,2024-08-06 00:00:00+00:00,2024 Filton Elbit Systems break-in,2024
http://www.wikidata.org/entity/Q129015748,2024-08-05 00:00:00+00:00,July 36,2024
http://www.wikidata.org/entity/Q131315182,2024-07-19 00:00:00+00:00,Q131315182,2024
http://www.wikidata.org/entity/Q130901902,2024-07-18 00:00:00+00:00,Kidnapping  Ali Suleiman Al-Assi,2024
http://www.wikidata.org/entity/Q127513184,2024-07-15 00:00:00+00:00,2024 Muscat mosque shooting,2024
http://www.wikidata.org/entity/Q127684991,2024-07-13 00:00:00+00:00,Wikisafari Ferrara di Monte Baldo 2024,2024
http://www.wikidata.org/entity/Q134157639,2024-07-13 00:00:00+00:00,"Russell Surasky appearance on Cavuto Live discussing Biden's cognitive health (July 13, 2024)",2024
http://www.wikidata.org/entity/Q130364940,2024-06-19 00:00:00+00:00,Q130364940,2024
http://www.wikidata.org/entity/Q59691515,2024-06-18 00:00:00+00:00,Q59691515,2024
http://www.wikidata.org/entity/Q126477166,2024-06-09 00:00:00+00:00,2024 Reasi ambush,2024
http://www.wikidata.org/entity/Q126180008,2024-05-28 00:00:00+00:00,May 2024 Al-Mawasi refugee camp attack,2024
http://www.wikidata.org/entity/Q126113691,2024-05-23 00:00:00+00:00,Q126113691,2024
http://www.wikidata.org/entity/Q126144229,2024-05-23 00:00:00+00:00,2024 editathon at Casa Museu Eva Klabin,2024
http://www.wikidata.org/entity/Q126264702,2024-05-17 00:00:00+00:00,2024 Ulu Tiram police station attack,2024
http://www.wikidata.org/entity/Q125631437,2024-05-02 00:00:00+00:00,Q125631437,2024
http://www.wikidata.org/entity/Q126370876,2024-05-01 00:00:00+00:00,May 2024 Massachusetts stabbings,2024
